nonseq_dim,mech_param,pearson_r
z_nonseq_0,tau_m,0.18019794437345688
z_nonseq_0,Gb,-0.7587919100176257
z_nonseq_0,sg,-0.20360247403779955
z_nonseq_0,si,0.5296345734072508
z_nonseq_0,p2,-0.6163958310869876
z_nonseq_0,mi,0.815854397759291
z_nonseq_0,z_init_0,-0.9634689522523845
z_nonseq_0,z_init_1,0.13608492151980187
z_nonseq_0,z_init_2,-0.46033288860833127
z_nonseq_0,z_init_3,0.6885617037093479
z_nonseq_1,tau_m,-0.3105286421349491
z_nonseq_1,Gb,0.7871309658773028
z_nonseq_1,sg,0.11176136531930829
z_nonseq_1,si,-0.5779073405895548
z_nonseq_1,p2,0.5383487906114212
z_nonseq_1,mi,-0.8346221837201057
z_nonseq_1,z_init_0,0.9770055835721227
z_nonseq_1,z_init_1,-0.19468177869389466
z_nonseq_1,z_init_2,0.5600658687911673
z_nonseq_1,z_init_3,-0.6436752057504117
z_nonseq_2,tau_m,0.9561632840394775
z_nonseq_2,Gb,-0.42384124006499563
z_nonseq_2,sg,0.8491054711510334
z_nonseq_2,si,0.8125210454953079
z_nonseq_2,p2,0.6428492315499427
z_nonseq_2,mi,0.42463323137805126
z_nonseq_2,z_init_0,-0.06724337969561013
z_nonseq_2,z_init_1,0.8109170458638661
z_nonseq_2,z_init_2,-0.3433897601544815
z_nonseq_2,z_init_3,-0.42114459975391544
z_nonseq_3,tau_m,-0.4355064381941959
z_nonseq_3,Gb,-0.08696903364541728
z_nonseq_3,sg,-0.5823487362308452
z_nonseq_3,si,-0.25403594438052035
z_nonseq_3,p2,-0.5585894709869449
z_nonseq_3,mi,0.055293911403826605
z_nonseq_3,z_init_0,-0.2794619898182858
z_nonseq_3,z_init_1,-0.46422285918721123
z_nonseq_3,z_init_2,-0.15990256851260765
z_nonseq_3,z_init_3,0.3738123148690852
z_nonseq_4,tau_m,0.9410024660118597
z_nonseq_4,Gb,-0.5338203157954562
z_nonseq_4,sg,0.7895868766788396
z_nonseq_4,si,0.8387018689914906
z_nonseq_4,p2,0.6671918050727284
z_nonseq_4,mi,0.5111537227377292
z_nonseq_4,z_init_0,-0.04881274861065459
z_nonseq_4,z_init_1,0.8476272998862056
z_nonseq_4,z_init_2,-0.11260532215035332
z_nonseq_4,z_init_3,-0.2716356636807477
z_nonseq_5,tau_m,0.8145052403987039
z_nonseq_5,Gb,-0.006142355374580466
z_nonseq_5,sg,0.8777924415358087
z_nonseq_5,si,0.6115958832171123
z_nonseq_5,p2,0.7763077998430599
z_nonseq_5,mi,0.03694658505972425
z_nonseq_5,z_init_0,0.16016972076725092
z_nonseq_5,z_init_1,0.8247914729220643
z_nonseq_5,z_init_2,-0.1999194307739495
z_nonseq_5,z_init_3,-0.7332947103985652
z_nonseq_6,tau_m,-0.9703293788999084
z_nonseq_6,Gb,0.48695633897778495
z_nonseq_6,sg,-0.8710002327490124
z_nonseq_6,si,-0.8915315840439979
z_nonseq_6,p2,-0.5361172588985935
z_nonseq_6,mi,-0.5140753860216452
z_nonseq_6,z_init_0,0.22458664410863244
z_nonseq_6,z_init_1,-0.84982170786831
z_nonseq_6,z_init_2,0.42363839836642364
z_nonseq_6,z_init_3,0.3412660511664244
z_nonseq_7,tau_m,-0.9349161117091611
z_nonseq_7,Gb,0.7874303562445669
z_nonseq_7,sg,-0.6194446013294382
z_nonseq_7,si,-0.9304686649126901
z_nonseq_7,p2,-0.28939819949700574
z_nonseq_7,mi,-0.7935166698267085
z_nonseq_7,z_init_0,0.5000323169107894
z_nonseq_7,z_init_1,-0.7644203917374494
z_nonseq_7,z_init_2,0.423719579037794
z_nonseq_7,z_init_3,-0.0694365138171678
z_nonseq_8,tau_m,0.11708584317546569
z_nonseq_8,Gb,-0.7862077355757906
z_nonseq_8,sg,-0.3770062246378317
z_nonseq_8,si,0.328107580376268
z_nonseq_8,p2,-0.4303608931381918
z_nonseq_8,mi,0.7641005789600414
z_nonseq_8,z_init_0,-0.6393133573831197
z_nonseq_8,z_init_1,0.014328445732893703
z_nonseq_8,z_init_2,0.020387387006238402
z_nonseq_8,z_init_3,0.8390515604451348
z_nonseq_9,tau_m,-0.3692253807840181
z_nonseq_9,Gb,-0.5109511480280047
z_nonseq_9,sg,-0.709804234071643
z_nonseq_9,si,-0.04876443930986169
z_nonseq_9,p2,-0.8838304395508886
z_nonseq_9,mi,0.5289737523277621
z_nonseq_9,z_init_0,-0.7323062551982034
z_nonseq_9,z_init_1,-0.4103132569421557
z_nonseq_9,z_init_2,-0.12943326119899448
z_nonseq_9,z_init_3,0.9513892348583021
z_nonseq_10,tau_m,0.646510349792307
z_nonseq_10,Gb,0.04275338179914827
z_nonseq_10,sg,0.819728869959456
z_nonseq_10,si,0.31999171859263376
z_nonseq_10,p2,0.8856022453307608
z_nonseq_10,mi,-0.09160324810204871
z_nonseq_10,z_init_0,0.5669641267439877
z_nonseq_10,z_init_1,0.5431169938236361
z_nonseq_10,z_init_2,0.12600728176763235
z_nonseq_10,z_init_3,-0.6254267376656826
z_nonseq_11,tau_m,0.9045175413560952
z_nonseq_11,Gb,-0.40572027784263365
z_nonseq_11,sg,0.8188901338221944
z_nonseq_11,si,0.6538649959021201
z_nonseq_11,p2,0.7005102091521478
z_nonseq_11,mi,0.36652676970384945
z_nonseq_11,z_init_0,0.11992987084850965
z_nonseq_11,z_init_1,0.6815785846300366
z_nonseq_11,z_init_2,-0.1864671379917592
z_nonseq_11,z_init_3,-0.34290016072066104
z_nonseq_12,tau_m,0.909888767494639
z_nonseq_12,Gb,-0.4723446628542817
z_nonseq_12,sg,0.7932190155514289
z_nonseq_12,si,0.6818770880995005
z_nonseq_12,p2,0.6620970574655843
z_nonseq_12,mi,0.43106515065778367
z_nonseq_12,z_init_0,0.059442401963965615
z_nonseq_12,z_init_1,0.6902594827725125
z_nonseq_12,z_init_2,-0.1833856423904888
z_nonseq_12,z_init_3,-0.263685280455845
z_nonseq_13,tau_m,-0.8501084011313104
z_nonseq_13,Gb,0.8902410023360178
z_nonseq_13,sg,-0.4833182678426244
z_nonseq_13,si,-0.9186175218065936
z_nonseq_13,p2,-0.09758846211284071
z_nonseq_13,mi,-0.9037193069374355
z_nonseq_13,z_init_0,0.6381242632727429
z_nonseq_13,z_init_1,-0.656127487626356
z_nonseq_13,z_init_2,0.4710256600311762
z_nonseq_13,z_init_3,-0.25385000380293665
z_nonseq_14,tau_m,0.8934772527889636
z_nonseq_14,Gb,-0.30814007467669885
z_nonseq_14,sg,0.8665367307276477
z_nonseq_14,si,0.6552016742805337
z_nonseq_14,p2,0.6731659337727333
z_nonseq_14,mi,0.28336678786752
z_nonseq_14,z_init_0,0.06325505662109843
z_nonseq_14,z_init_1,0.6675849011621661
z_nonseq_14,z_init_2,-0.4086110546068277
z_nonseq_14,z_init_3,-0.48267368426152174
z_nonseq_15,tau_m,-0.9301653242412117
z_nonseq_15,Gb,0.35768744216447035
z_nonseq_15,sg,-0.8462396857929498
z_nonseq_15,si,-0.6721214563921372
z_nonseq_15,p2,-0.7193765795282219
z_nonseq_15,mi,-0.32370096131820214
z_nonseq_15,z_init_0,-0.07904518499302639
z_nonseq_15,z_init_1,-0.7316019171853724
z_nonseq_15,z_init_2,0.2763180019835437
z_nonseq_15,z_init_3,0.4234833098745483
