dataset,file,exists,n_rows,n_cols,columns,n_subjects,n_meal_types,time_min,time_max
D1_metwally,subjects.csv,True,59,14,"subject_id,original_id,age,bmi,sex,ethnicity,hba1c,fpg,ogtt_2h,cohort,has_cgm,has_gold_standard_public,dataset,weight_kg",59.0,,,
D1_metwally,meals.csv,True,148,6,"subject_id,meal_type,meal_context,carb_g,description,dataset",59.0,1.0,,
D1_metwally,cgm.csv,True,4479,6,"subject_id,timepoint_mins,glucose_mg_dl,source,data_type,dataset",59.0,,,
D1_metwally,labels.csv,True,59,25,"subject_id,dataset,demo_ExperimentType,demo_Age,demo_BMI,demo_Sex,demo_Ethnicity,demo_OGTT_2h,demo_HbA1c,demo_FPG,SSPG,MuscleIR_Class,DI,BetaCellFunction_Class,IE,IE_Class,Hepatic_IR_Index,HepaticIR_Class,GLP1_120min,GIP_120min,HOMA_B,HOMA_IR,HOMA_S,Matsuda_Index,T2D_PRS",59.0,,,
D2_stanford,subjects.csv,True,74,16,"subject_id,age,sex,ethnicity,bmi,hba1c,fasting_glucose,fasting_insulin,systolic_bp,diastolic_bp,total_cholesterol,ldl,hdl,free_fatty_acids,ogtt120,dataset",74.0,,,
D2_stanford,meals.csv,True,332,9,"subject_id,meal_type,n_readings,description,meal_category,carb_g,fat_g,protein_g,fiber_g",38.0,24.0,,
D2_stanford,cgm.csv,True,23520,10,"glucose_mg_dl,subject_id,meal_type,mitigator,food_detail,rep,mins_since_start,minutes_after_meal,source,data_type",38.0,24.0,,
D2_stanford,labels.csv,True,74,12,"subject_id,SSPG,DI,IE,Hepatic_IR,HOMA_IR,HOMA_B,hba1c,fasting_glucose,fasting_insulin,ogtt120,dataset",74.0,,,
D3_cgmacros,subjects.csv,True,45,8,"subject_id,age,sex,bmi,weight_kg,height_cm,ethnicity,dataset",45.0,,,
D3_cgmacros,meals.csv,True,1706,9,"subject_id,timestamp,meal_type,calories_kcal,carb_g,protein_g,fat_g,fiber_g,amount_consumed_pct",45.0,10.0,2019-11-16 10:03:00,2025-11-08 16:23:00
D3_cgmacros,cgm.csv,True,1317185,6,"subject_id,timestamp,glucose_mg_dl,sensor,source,data_type",45.0,,2019-11-15 20:12:00,2025-11-10 06:18:00
D3_cgmacros,labels.csv,True,45,17,"subject_id,hba1c,fasting_glucose_mg_dl,fasting_insulin_uiu_ml,triglycerides_mg_dl,total_cholesterol_mg_dl,hdl_mg_dl,non_hdl_mg_dl,ldl_mg_dl,vldl_mg_dl,cho_hdl_ratio,fingerstick_glucose_1,fingerstick_glucose_2,fingerstick_glucose_3,HOMA_IR,HOMA_B,dataset",45.0,,,
D4_hall,subjects.csv,True,57,12,"subject_id,dataset_id,original_id,age,bmi,height_cm,weight_kg,hba1c,diagnosis,glucotype,sex,ethnicity",57.0,,,
D4_hall,meals.csv,True,240,11,"subject_id,timestamp,meal_type,meal_code,description,repeat,meal_category,carb_g,fat_g,protein_g,fiber_g",66.0,4.0,2013-11-11 00:00:00,2017-08-10 00:00:00
D4_hall,cgm.csv,True,6152,6,"meal_context,subject_id,timestamp,glucose_mg_dl,source,data_type",30.0,,2016-08-04 08:10:00,2017-07-20 08:00:00
D4_hall,labels.csv,True,57,19,"subject_id,hba1c,fasting_glucose_mg_dl,fasting_insulin,ogtt_2h_mgdl,sspg,ie,homa_ir,homa_b,hs_crp,total_cholesterol,triglycerides,hdl,ldl,insulin_rate_dd,diagnosis,glucotype,oral_di,DI",57.0,,,
D4_hall,oral_di.csv,True,49,5,"d4_id,d3h_id,matsuda,igi,oral_di",,,,
D4_hall,ogtt_timeseries.csv,True,2368,5,"subject_id,date,timepoint_mins,value,parameter",74.0,,,
D4_hall,cgm_freeliving.csv,True,105426,3,"subject_id,timestamp,glucose_mgdl",57.0,,2014-02-03 03:42:12,2017-07-11 20:41:32
