target,feature_set,n,spearman,r2,rmse
hba1c,10D,45,0.7620243233919669,0.5965018437181406,0.5703413490053584
hba1c,16D,45,0.7416518094684406,0.540841807989735,0.6084084675901839
hba1c,26D,45,0.7572773298563881,0.6032182865068676,0.5655746110204056
HOMA_IR,10D,45,0.34150197628458495,-0.35177539266096636,3.4722790815974283
HOMA_IR,16D,45,-0.12990777338603424,-0.11921040524729487,3.159499022445415
HOMA_IR,26D,45,0.33847167325428196,0.01929156680187294,2.9575514655224233
HOMA_B,10D,45,0.2258234519104084,0.08704586268253767,56.55073024438032
HOMA_B,16D,45,0.20210803689064558,-0.002075944386025652,59.24668495508805
HOMA_B,26D,45,0.191699604743083,-0.003964925822329102,59.302500682455594
fasting_glucose_mg_dl,10D,45,0.7486574837509671,0.5466305702017026,20.128275883492435
fasting_glucose_mg_dl,16D,45,0.7124172429427439,0.5097986331734863,20.92992725566915
fasting_glucose_mg_dl,26D,45,0.7153164622074019,0.528369847082418,20.529635640381283
fasting_insulin_uiu_ml,10D,45,0.011200790795994595,-0.6622818086333118,10.535188036598527
fasting_insulin_uiu_ml,16D,45,-0.9193872633371092,-0.061152115137955265,8.41741592866719
fasting_insulin_uiu_ml,26D,45,-0.506539291997685,-0.18114779575518702,8.880595466818983
triglycerides_mg_dl,10D,45,-0.021018647046982662,-0.05659405836756837,172.2132318474299
triglycerides_mg_dl,16D,45,-0.3245041903021618,-0.052023298985984345,171.84033632982306
triglycerides_mg_dl,26D,45,-0.09771364755697581,-0.054052610512930865,172.0059931037857
hdl_mg_dl,10D,45,0.3701092140581272,-0.5606037758111955,19.058511698045372
hdl_mg_dl,16D,45,-0.010020769600433795,-0.18337148196420516,16.595991582834685
hdl_mg_dl,26D,45,0.31631350357158783,0.042543454014080107,14.928019466509873
ldl_mg_dl,10D,45,-0.373455492585408,-0.047298645193098565,111.30789644352903
ldl_mg_dl,16D,45,-0.4042967084897614,-0.04828522279235736,111.36031130541093
ldl_mg_dl,26D,45,-0.30373325663069445,-0.05062744834714539,111.48465028660551
cho_hdl_ratio,10D,45,0.06181626949577639,-0.046899720414369295,59.76072438330648
cho_hdl_ratio,16D,45,-0.07690787473515036,-0.04739437586952144,59.77484105404003
cho_hdl_ratio,26D,45,-0.024581522944482504,-0.049177910612032694,59.825712608206736
