latent_dim,icc,group
z00,-0.4634233676502233,10D
z01,0.015005673208084578,10D
z02,-0.47416663452031454,10D
z03,-0.2397548213365569,10D
z04,0.016706928326666166,10D
z05,-0.04977220593145029,10D
z06,0.46367340501228593,10D
z07,0.027478917836000476,10D
z08,-0.03675245350582475,10D
z09,0.06516476465290869,10D
z10,0.38153868395996665,16D
z11,-0.23700075579827878,16D
z12,-0.3718544851344552,16D
z13,-0.32696654552817134,16D
z14,-0.49046910416068723,16D
z15,-0.06447782185253222,16D
z16,-0.3908962907668635,16D
z17,-0.30674508602210876,16D
z18,-0.4387877862833667,16D
z19,-0.14476798131911195,16D
z20,-0.4696003617732704,16D
z21,-0.4785997080423399,16D
z22,-0.44645527232626003,16D
z23,-0.32460689616132143,16D
z24,-0.43350072520434213,16D
z25,-0.4413521671911479,16D
