dataset,task,block,metric,value
D4,carb_g,mech10,cv_r2_mean,0.8506206838896834
D4,carb_g,res16,cv_r2_mean,0.9906719437851648
D4,carb_g,full26,cv_r2_mean,0.9672016562553148
D4,fat_g,mech10,cv_r2_mean,0.9659842096946715
D4,fat_g,res16,cv_r2_mean,0.996238079141615
D4,fat_g,full26,cv_r2_mean,0.993838700838819
D4,protein_g,mech10,cv_r2_mean,0.8332595066767203
D4,protein_g,res16,cv_r2_mean,0.9895658360847825
D4,protein_g,full26,cv_r2_mean,0.9718795447143866
D4,uncertainty_score,mech10,cv_r2_mean,0.21202336003211145
D4,uncertainty_score,res16,cv_r2_mean,-0.5325456007081958
D4,uncertainty_score,full26,cv_r2_mean,0.24332937392872753
D4,meal_type,mech10,cv_acc_mean,0.9768115942028984
D4,meal_type,res16,cv_acc_mean,0.9884057971014493
D4,meal_type,full26,cv_acc_mean,0.9826086956521738
D3,carb_g,mech10,cv_r2_mean,0.5646509561724553
D3,carb_g,res16,cv_r2_mean,0.8867955813517832
D3,carb_g,full26,cv_r2_mean,0.8432378324079661
D3,fat_g,mech10,cv_r2_mean,0.20709036762200833
D3,fat_g,res16,cv_r2_mean,0.775665071769124
D3,fat_g,full26,cv_r2_mean,0.7928335887138351
D3,protein_g,mech10,cv_r2_mean,0.6717638133272967
D3,protein_g,res16,cv_r2_mean,0.8861663564808016
D3,protein_g,full26,cv_r2_mean,0.92661333111025
D3,uncertainty_score,mech10,cv_r2_mean,0.009369663415888541
D3,uncertainty_score,res16,cv_r2_mean,-0.03465850420673875
D3,uncertainty_score,full26,cv_r2_mean,-0.20847897765694148
D3,meal_type,mech10,cv_acc_mean,0.4035781784863082
D3,meal_type,res16,cv_acc_mean,0.3759836354458737
D3,meal_type,full26,cv_acc_mean,0.43285102454266494
