Meal,Model,SSPG ρ,SSPG RMSE,DI ρ,DI RMSE
Cornflakes,Wang(Exp1),,80.13683896910558,,0.7614663866312082
PB_sandwich,Wang(Exp1),,80.13683896910558,,0.7614663866312082
Protein_bar,Wang(Exp1),,80.13683896910558,,0.7614663866312082
Cornflakes,Ours(Exp8),0.10977443609022557,78.72095183180343,-0.5,1.3643261270493308
PB_sandwich,Ours(Exp8),-0.1263157894736842,84.00934281746937,-0.3911764705882353,1.35252457185434
Protein_bar,Ours(Exp8),-0.14285714285714285,81.20829245321241,-0.6941176470588235,1.35955625272134
Cornflakes,Metwally(Exp2),0.7473684210526315,69.4346569154001,0.5882352941176471,0.7096713969454705
Cornflakes,SimpleStats(Exp4),0.8105263157894737,66.52614116630754,0.75,0.8058618839648508
Cornflakes,Healey(Exp3),0.39999999999999997,72.77350111302597,0.4147058823529412,0.8367830039781204
PB_sandwich,Metwally(Exp2),0.37744360902255636,78.47685644895802,0.5647058823529412,0.7998114068708895
PB_sandwich,SimpleStats(Exp4),0.25112781954887214,81.14616952891409,0.4852941176470588,0.8963193656142134
PB_sandwich,Healey(Exp3),0.5052631578947367,64.85342517835805,0.3941176470588235,0.8818945187767756
Protein_bar,Metwally(Exp2),0.437593984962406,76.46988842380257,0.3764705882352941,0.8089098817136103
Protein_bar,SimpleStats(Exp4),0.5639097744360902,72.5710929649968,0.6441176470588235,0.956338348883262
Protein_bar,Healey(Exp3),0.4601503759398496,71.10686136507739,0.22058823529411767,0.8976457843363501
